MACaddress,Distance,RSSI
00:19:01:70:86:2f,2.3,-66
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-73
00:19:01:70:81:9d,2.3,-71
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-76
00:19:01:70:84:4b,2.3,-72
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-62
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-64
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-75
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-72
00:19:01:70:81:9d,2.3,-69
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-67
00:19:01:70:86:2f,2.3,-62
00:19:01:70:84:4b,2.3,-66
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-69
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-76
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-73
00:19:01:70:81:9d,2.3,-75
00:19:01:70:86:2f,2.3,-65
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-69
00:19:01:70:86:2f,2.3,-67
00:19:01:70:86:2f,2.3,-65
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-65
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-73
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-75
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-65
00:19:01:70:81:9d,2.3,-75
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-76
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-75
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-75
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-72
00:19:01:70:81:9d,2.3,-71
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-63
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-66
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-65
00:19:01:70:81:9d,2.3,-73
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-68
00:19:01:70:84:4b,2.3,-68
00:19:01:70:86:2f,2.3,-62
00:19:01:70:84:4b,2.3,-74
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-69
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-66
00:19:01:70:81:9d,2.3,-76
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-72
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-62
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-66
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-63
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-66
00:19:01:70:81:9d,2.3,-79
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-71
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-66
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-71
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-69
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-66
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-76
00:19:01:70:84:4b,2.3,-69
00:19:01:70:86:2f,2.3,-65
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-74
00:19:01:70:84:4b,2.3,-69
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-67
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-74
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-63
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-68
00:19:01:70:81:9d,2.3,-68
00:19:01:70:81:9d,2.3,-64
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-68
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-64
00:19:01:70:86:2f,2.3,-68
00:19:01:70:81:9d,2.3,-76
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-73
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-66
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-68
00:19:01:70:81:9d,2.3,-74
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-69
00:19:01:70:84:4b,2.3,-67
00:19:01:70:81:9d,2.3,-64
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-72
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-69
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-72
00:19:01:70:84:4b,2.3,-66
00:19:01:70:81:9d,2.3,-66
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-62
00:19:01:70:84:4b,2.3,-73
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-68
00:19:01:70:86:2f,2.3,-65
00:19:01:70:81:9d,2.3,-75
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-63
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-66
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-75
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-73
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-64
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-69
00:19:01:70:81:9d,2.3,-71
00:19:01:70:86:2f,2.3,-62
00:19:01:70:84:4b,2.3,-65
00:19:01:70:81:9d,2.3,-64
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-75
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-76
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-71
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-68
00:19:01:70:81:9d,2.3,-66
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-75
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-70
00:19:01:70:81:9d,2.3,-76
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-75
00:19:01:70:84:4b,2.3,-65
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-73
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-66
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-77
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-74
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-68
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-77
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-69
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-68
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-65
00:19:01:70:81:9d,2.3,-77
00:19:01:70:84:4b,2.3,-73
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-76
00:19:01:70:84:4b,2.3,-69
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-73
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-66
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-66
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-64
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-80
00:19:01:70:81:9d,2.3,-66
00:19:01:70:86:2f,2.3,-68
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-69
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-71
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-74
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-64
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-65
00:19:01:70:81:9d,2.3,-72
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-64
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-76
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-66
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-71
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-62
00:19:01:70:84:4b,2.3,-72
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-73
00:19:01:70:84:4b,2.3,-70
00:19:01:70:84:4b,2.3,-65
00:19:01:70:81:9d,2.3,-73
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-73
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-65
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-69
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-72
00:19:01:70:81:9d,2.3,-75
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-71
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-72
00:19:01:70:81:9d,2.3,-65
00:19:01:70:81:9d,2.3,-73
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-72
00:19:01:70:81:9d,2.3,-75
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-74
00:19:01:70:84:4b,2.3,-69
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-72
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-65
00:19:01:70:81:9d,2.3,-74
00:19:01:70:86:2f,2.3,-61
00:19:01:70:84:4b,2.3,-68
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-65
00:19:01:70:81:9d,2.3,-73
00:19:01:70:84:4b,2.3,-68
00:19:01:70:86:2f,2.3,-61
00:19:01:70:81:9d,2.3,-69
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-73
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-72
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-69
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-74
00:19:01:70:84:4b,2.3,-68
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-75
00:19:01:70:84:4b,2.3,-68
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-65
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-61
00:19:01:70:84:4b,2.3,-68
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-64
00:19:01:70:81:9d,2.3,-74
00:19:01:70:86:2f,2.3,-61
00:19:01:70:81:9d,2.3,-69
00:19:01:70:84:4b,2.3,-69
00:19:01:70:86:2f,2.3,-65
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-64
00:19:01:70:84:4b,2.3,-69
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-73
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-65
00:19:01:70:81:9d,2.3,-69
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-66
00:19:01:70:81:9d,2.3,-74
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-64
00:19:01:70:84:4b,2.3,-70
00:19:01:70:84:4b,2.3,-65
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-75
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-62
00:19:01:70:84:4b,2.3,-69
00:19:01:70:86:2f,2.3,-69
00:19:01:70:84:4b,2.3,-73
00:19:01:70:81:9d,2.3,-66
00:19:01:70:81:9d,2.3,-74
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-72
00:19:01:70:86:2f,2.3,-69
00:19:01:70:84:4b,2.3,-67
00:19:01:70:86:2f,2.3,-64
00:19:01:70:84:4b,2.3,-71
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-74
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-71
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-64
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-65
00:19:01:70:81:9d,2.3,-75
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-73
00:19:01:70:86:2f,2.3,-63
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-66
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-75
00:19:01:70:86:2f,2.3,-63
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-75
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-69
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-64
00:19:01:70:84:4b,2.3,-65
00:19:01:70:81:9d,2.3,-75
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-69
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-64
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-75
00:19:01:70:86:2f,2.3,-65
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:84:4b,2.3,-73
00:19:01:70:86:2f,2.3,-66
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:81:9d,2.3,-75
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-62
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-65
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-66
00:19:01:70:86:2f,2.3,-66
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-62
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-64
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-72
00:19:01:70:81:9d,2.3,-75
00:19:01:70:86:2f,2.3,-65
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-64
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-64
00:19:01:70:84:4b,2.3,-69
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-65
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-71
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-70
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-71
00:19:01:70:86:2f,2.3,-66
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-74
00:19:01:70:86:2f,2.3,-66
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-63
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-66
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-64
00:19:01:70:81:9d,2.3,-74
00:19:01:70:84:4b,2.3,-69
00:19:01:70:81:9d,2.3,-70
00:19:01:70:86:2f,2.3,-67
00:19:01:70:81:9d,2.3,-65
00:19:01:70:86:2f,2.3,-66
00:19:01:70:86:2f,2.3,-62
00:19:01:70:81:9d,2.3,-70
00:19:01:70:84:4b,2.3,-71
00:19:01:70:81:9d,2.3,-74
00:19:01:70:86:2f,2.3,-66
00:19:01:70:86:2f,2.3,-62
00:19:01:70:86:2f,2.3,-64
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-63
00:19:01:70:81:9d,2.3,-69
00:19:01:70:84:4b,2.3,-72
00:19:01:70:86:2f,2.3,-67
00:19:01:70:84:4b,2.3,-65
00:19:01:70:86:2f,2.3,-66
